defendant_age,defendant_gender,num_victims,victim_genders,offence_category,offence_subcategory
not known,male,1,male,theft,embezzlement
35,female,3,female;male;female,miscellaneous,kidnapping
17,male,0,nan,royalOffences,coiningOffences
18,male,1,male,theft,embezzlement
14,male,1,male,theft,grandLarceny
28,male,1,male,theft,burglary
31,female,1,male,theft,stealingFromMaster
16,male,2,female;female,theft,simpleLarceny
not known,male,1,female,theft,grandLarceny
not known,female,1,male,theft,grandLarceny
not known,male,1,female,breakingPeace,wounding
not known,female,1,male,theft,simpleLarceny
not known,male,2,male;male,theft,grandLarceny
not known,male,0,nan,deception,forgery
not known,female,1,male,theft,grandLarceny
21,female,1,male,deception,forgery
22,male,1,male,theft,stealingFromMaster
not known,male,1,male,theft,theftFromPlace
32,female,3,male;female;male,theft,grandLarceny
32,male,1,male,theft,theftFromPlace
not known,male,1,male,deception,forgery
not known,female,1,male,theft,pocketpicking
31,male,1,male,theft,stealingFromMaster
16,male,1,male,theft,simpleLarceny
21,male,1,male,theft,grandLarceny
not known,male,1,male,deception,forgery
not known,male,1,male,theft,pocketpicking
not known,female,1,female,kill,other
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,simpleLarceny
40,male,1,female,violentTheft,robbery
not known,female,1,male,theft,pocketpicking
21,male,1,female,breakingPeace,wounding
23,male,1,indeterminate,theft,mail
19,male,1,female,theft,simpleLarceny
not known,male,1,male,breakingPeace,assault
not known,male,1,male,theft,grandLarceny
21,female,0,nan,royalOffences,coiningOffences
15,male,0,nan,royalOffences,coiningOffences
14,male,1,male,theft,simpleLarceny
22,male,0,nan,royalOffences,coiningOffences
17,male,1,indeterminate,theft,simpleLarceny
36,male,7,male;male;male;male;male;indeterminate;male,theft,grandLarceny
not known,male,1,male,breakingPeace,riot
19,male,1,male,kill,manslaughter
not known,female,1,male,theft,pocketpicking
not known,male,1,male,theft,housebreaking
36,female,1,male,theft,simpleLarceny
not known,male,0,nan,royalOffences,seditiousWords
not known,male,0,nan,royalOffences,coiningOffences
20,male,1,male,theft,simpleLarceny
not known,female,1,male,theft,grandLarceny
18,male,1,male,breakingPeace,wounding
34,female,1,male,theft,grandLarceny
18,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,grandLarceny
not known,female,1,male,theft,simpleLarceny
not known,male,1,male,theft,burglary
not known,male,1,male,theft,pocketpicking
not known,male,1,male,theft,grandLarceny
not known,female,0,nan,miscellaneous,other
not known,male,0,nan,deception,perjury
33,male,1,male,violentTheft,robbery
not known,male,1,male,theft,grandLarceny
not known,female,2,male;male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
24,female,2,male;female,theft,pocketpicking
not known,male,1,male,violentTheft,highwayRobbery
not known,male,1,male,theft,receiving
15,female,1,male,theft,theftFromPlace
not known,female,1,male,theft,grandLarceny
20,male,1,male,theft,theftFromPlace
not known,female,1,male,theft,grandLarceny
12,male,1,male,theft,burglary
34,male,1,male,theft,stealingFromMaster
10,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,burglary
not known,male,1,female,sexual,bigamy
40,male,1,male,theft,theftFromPlace
not known,male,1,male,theft,animalTheft
21,male,1,male,theft,animalTheft
31,male,1,male,kill,manslaughter
24,male,3,male;male;male,theft,stealingFromMaster
not known,male,1,male,theft,grandLarceny
not known,male,1,female,breakingPeace,assault
21,male,1,male,breakingPeace,wounding
16,male,1,male,theft,pocketpicking
45,male,1,female,theft,simpleLarceny
54,male,1,female,sexual,bigamy
19,male,3,male;female;male,theft,burglary
not known,female,1,male,theft,shoplifting
28,male,1,male,theft,pocketpicking
30,male,1,indeterminate,theft,mail
not known,female,1,male,theft,theftFromPlace
17,male,1,female,theft,simpleLarceny
not known,female,1,male,theft,pocketpicking
not known,female,0,nan,deception,forgery
not known,female,1,male,theft,theftFromPlace
not known,male,1,male,theft,pocketpicking
not known,male,1,male,deception,forgery
28,male,1,male,violentTheft,robbery
not known,male,0,nan,sexual,sodomy
18,male,1,male,theft,stealingFromMaster
not known,male,1,male,theft,animalTheft
57,female,0,nan,breakingPeace,wounding
41,male,1,male,theft,theftFromPlace
49,female,1,male,theft,simpleLarceny
45,male,0,nan,royalOffences,seducingAllegiance
not known,male,1,male,theft,pocketpicking
not known,male,1,male,theft,grandLarceny
not known,male,3,male;male;male,theft,grandLarceny
not known,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,housebreaking
not known,female,1,male,theft,simpleLarceny
35,male,0,nan,deception,forgery
not known,male,2,male;male,theft,theftFromPlace
35,female,0,nan,royalOffences,coiningOffences
18,female,0,nan,royalOffences,coiningOffences
not known,male,1,male,theft,burglary
not known,male,1,male,theft,pocketpicking
not known,male,1,male,theft,theftFromPlace
54,male,1,female,kill,manslaughter
20,male,1,male,theft,grandLarceny
not known,male,1,male,deception,fraud
not known,male,0,nan,theft,simpleLarceny
33,male,1,female,theft,simpleLarceny
37,female,1,male,theft,grandLarceny
not known,male,1,male,theft,simpleLarceny
19,male,1,indeterminate,theft,mail
not known,female,1,male,violentTheft,highwayRobbery
15,male,1,male,theft,theftFromPlace
27,male,0,nan,sexual,bigamy
51,male,1,male,theft,theftFromPlace
not known,male,1,male,theft,simpleLarceny
22,male,0,nan,royalOffences,coiningOffences
not known,female,0,nan,royalOffences,coiningOffences
20,male,1,male,theft,simpleLarceny
not known,female,1,male,theft,pocketpicking
not known,male,1,male,theft,pocketpicking
30,male,2,male;male,theft,simpleLarceny
not known,male,1,male,theft,grandLarceny
not known,female,1,male,violentTheft,robbery
23,male,1,male,deception,fraud
not known,male,1,male,violentTheft,highwayRobbery
not known,male,1,male,theft,grandLarceny
not known,male,0,nan,theft,pocketpicking
not known,female,1,female,theft,grandLarceny
not known,female,1,male,theft,pocketpicking
67,male,1,female,sexual,assaultWithIntent
25,male,1,male,theft,simpleLarceny
not known,male,1,male,kill,murder
not known,female,1,male,theft,simpleLarceny
55,female,1,male,theft,grandLarceny
not known,male,0,nan,kill,infanticide
not known,male,0,nan,deception,perjury
not known,male,1,female,theft,grandLarceny
20,male,1,male,theft,stealingFromMaster
18,male,1,male,theft,simpleLarceny
not known,female,1,male,theft,grandLarceny
25,male,1,male,kill,manslaughter
33,female,1,male,theft,pocketpicking
not known,female,1,female,theft,grandLarceny
not known,female,0,nan,kill,infanticide
not known,female,0,nan,deception,perjury
not known,male,1,male,theft,other
not known,male,1,male,theft,shoplifting
23,female,1,male,theft,grandLarceny
47,male,1,male,violentTheft,robbery
not known,male,1,male,theft,grandLarceny
46,male,1,female,breakingPeace,wounding
not known,male,2,male;male,theft,receiving
not known,male,1,male,theft,pocketpicking
not known,male,1,female,sexual,assaultWithIntent
28,male,1,male,theft,grandLarceny
21,male,2,indeterminate;male,royalOffences,coiningOffences
not known,female,0,nan,kill,infanticide
not known,male,0,nan,theft,embezzlement
14,male,1,male,theft,grandLarceny
13,male,1,male,theft,stealingFromMaster
18,female,1,male,theft,theftFromPlace
11,male,1,male,theft,simpleLarceny
28,male,1,male,theft,embezzlement
44,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
not known,male,1,male,violentTheft,highwayRobbery
62,male,0,nan,royalOffences,coiningOffences
not known,male,1,male,theft,pocketpicking
27,male,1,male,theft,pocketpicking
not known,male,0,nan,breakingPeace,assault
16,male,1,male,theft,housebreaking
not known,female,1,male,theft,grandLarceny
32,male,0,nan,royalOffences,coiningOffences
43,male,1,female,breakingPeace,wounding
29,male,0,nan,theft,embezzlement
22,male,1,male,theft,grandLarceny
not known,male,1,male,theft,shoplifting
not known,male,0,nan,sexual,rape
not known,female,1,male,theft,pocketpicking
not known,female,1,male,theft,grandLarceny
49,male,2,male;male,kill,murder
42,male,1,indeterminate,theft,simpleLarceny
20,male,1,male,violentTheft,robbery
not known,male,1,male,theft,grandLarceny
not known,male,0,nan,deception,forgery
not known,female,1,female,theft,grandLarceny
29,male,2,male;female,theft,pocketpicking
not known,female,1,male,theft,grandLarceny
47,male,0,nan,deception,bankrupcy
21,male,0,nan,deception,forgery
13,male,1,male,theft,theftFromPlace
not known,female,1,female,theft,grandLarceny
29,male,1,male,theft,simpleLarceny
14,male,1,male,theft,animalTheft
not known,male,1,male,deception,forgery
not known,female,1,male,theft,simpleLarceny
39,male,1,male,theft,theftFromPlace
16,male,1,male,theft,grandLarceny
40,male,1,male,theft,simpleLarceny
not known,male,0,nan,deception,fraud
15,male,1,male,theft,simpleLarceny
19,male,1,male,violentTheft,robbery
29,male,1,male,theft,animalTheft
20,male,1,male,theft,embezzlement
33,male,1,male,theft,stealingFromMaster
not known,male,1,female,theft,theftFromPlace
not known,male,1,male,theft,grandLarceny
not known,female,1,male,theft,theftFromPlace
not known,female,1,male,theft,grandLarceny
not known,male,1,male,theft,animalTheft
19,male,1,female,theft,pocketpicking
20,male,0,nan,deception,fraud
not known,female,1,female,theft,simpleLarceny
not known,female,0,nan,miscellaneous,other
29,female,1,male,sexual,bigamy
22,male,1,male,theft,theftFromPlace
not known,male,1,male,theft,grandLarceny
18,male,1,male,theft,simpleLarceny
28,male,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
19,female,1,male,theft,burglary
22,female,1,male,theft,simpleLarceny
38,male,1,male,sexual,indecentAssault
35,male,1,male,theft,housebreaking
not known,male,1,male,kill,manslaughter
not known,female,2,male;male,theft,other
not known,male,1,female,theft,grandLarceny
59,male,0,nan,sexual,other
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,stealingFromMaster
23,male,1,male,damage,other
not known,male,1,male,theft,grandLarceny
not known,female,1,male,theft,pocketpicking
26,male,1,female,theft,housebreaking
not known,male,0,nan,theft,embezzlement
not known,female,1,male,theft,grandLarceny
not known,male,2,male;male,theft,grandLarceny
not known,male,1,male,theft,burglary
20,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,grandLarceny
not known,female,1,male,theft,stealingFromMaster
49,male,1,male,deception,fraud
not known,male,0,nan,sexual,bigamy
not known,female,1,male,theft,pocketpicking
40,male,1,male,theft,embezzlement
not known,male,1,male,theft,stealingFromMaster
27,male,1,male,theft,simpleLarceny
not known,female,1,male,theft,grandLarceny
26,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,theftFromPlace
not known,female,1,male,theft,housebreaking
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,housebreaking
not known,male,1,male,theft,simpleLarceny
not known,female,1,male,theft,grandLarceny
28,male,0,nan,breakingPeace,libel
14,male,1,male,breakingPeace,wounding
not known,male,1,male,theft,pocketpicking
not known,male,1,male,theft,burglary
not known,male,0,nan,breakingPeace,wounding
49,male,1,male,theft,grandLarceny
61,male,1,male,theft,burglary
26,male,1,female,theft,theftFromPlace
21,male,1,male,theft,simpleLarceny
27,female,1,female,kill,manslaughter
11,male,1,female,theft,simpleLarceny
not known,male,1,male,theft,theftFromPlace
33,male,1,male,theft,theftFromPlace
not known,female,1,male,theft,stealingFromMaster
27,male,2,male;male,theft,grandLarceny
32,male,1,male,theft,theftFromPlace
30,female,2,male;male,theft,grandLarceny
23,male,0,nan,theft,simpleLarceny
not known,male,1,male,deception,forgery
not known,female,2,female;male,theft,simpleLarceny
not known,male,0,nan,miscellaneous,conspiracy
not known,male,1,male,theft,grandLarceny
16,male,1,male,theft,grandLarceny
24,male,2,male;male,theft,simpleLarceny
22,female,0,nan,miscellaneous,concealingABirth
17,male,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,embezzlement
25,male,1,male,sexual,indecentAssault
not known,female,1,female,theft,grandLarceny
26,male,1,female,theft,extortion
30,female,1,male,theft,grandLarceny
22,male,1,male,theft,extortion
17,male,1,male,theft,pocketpicking
twelve,male,1,male,theft,grandLarceny
not known,male,1,male,violentTheft,highwayRobbery
not known,male,1,male,theft,shoplifting
not known,male,1,male,theft,grandLarceny
not known,female,1,male,theft,theftFromPlace
47,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,grandLarceny
37,female,1,male,theft,stealingFromMaster
14,male,1,male,theft,stealingFromMaster
not known,male,1,male,theft,grandLarceny
8,male,1,male,theft,simpleLarceny
29,male,1,male,theft,embezzlement
36,male,1,female,breakingPeace,wounding
not known,male,3,male;male;male,theft,grandLarceny
22,male,0,nan,royalOffences,coiningOffences
not known,male,0,nan,miscellaneous,other
not known,female,1,male,theft,grandLarceny
not known,male,1,female,theft,grandLarceny
21,male,1,indeterminate,theft,mail
not known,female,2,male;female,theft,pocketpicking
not known,male,1,male,theft,stealingFromMaster
not known,male,0,nan,deception,fraud
20,male,1,male,theft,pocketpicking
not known,male,1,male,kill,manslaughter
32,male,1,male,violentTheft,robbery
not known,male,0,nan,deception,perjury
not known,male,1,male,theft,simpleLarceny
22,male,0,nan,deception,forgery
not known,female,0,nan,royalOffences,coiningOffences
not known,male,2,male;male,theft,grandLarceny
39,male,0,nan,deception,forgery
22,male,1,male,deception,fraud
15,male,1,male,theft,simpleLarceny
not known,male,1,female,theft,grandLarceny
not known,male,0,nan,miscellaneous,other
30,male,0,nan,damage,arson
27,male,1,male,breakingPeace,wounding
not known,female,2,male;male,theft,theftFromPlace
not known,female,1,male,theft,grandLarceny
not known,male,1,male,theft,housebreaking
55,male,1,male,theft,theftFromPlace
23,female,1,male,theft,pocketpicking
not known,male,1,male,theft,pocketpicking
not known,male,1,female,sexual,rape
not known,male,1,male,theft,other
18,male,1,male,theft,burglary
13 years,male,1,male,theft,grandLarceny
53,male,1,female,sexual,bigamy
30,male,2,male;male,theft,stealingFromMaster
not known,female,1,male,theft,grandLarceny
not known,female,1,male,theft,grandLarceny
35,female,1,male,theft,shoplifting
38,male,0,nan,theft,simpleLarceny
not known,male,0,nan,sexual,sodomy
not known,male,1,male,theft,animalTheft
46,female,1,male,theft,simpleLarceny
not known,male,1,male,theft,stealingFromMaster
32,male,1,male,theft,shoplifting
not known,male,1,female,sexual,rape
not known,male,1,male,theft,grandLarceny
not known,male,1,male,kill,murder
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,theftFromPlace
22,female,1,male,theft,stealingFromMaster
not known,female,1,male,theft,grandLarceny
not known,male,1,male,breakingPeace,wounding
19,male,1,male,kill,manslaughter
not known,male,1,male,kill,murder
not known,female,1,male,theft,shoplifting
not known,male,0,nan,theft,grandLarceny
not known,female,1,female,theft,grandLarceny
41,male,1,male,theft,pocketpicking
18,male,1,male,theft,theftFromPlace
46,male,1,female,theft,burglary
not known,male,1,male,theft,simpleLarceny
not known,male,2,female;male,violentTheft,highwayRobbery
17,male,1,male,theft,grandLarceny
not known,male,1,female,sexual,assaultWithIntent
17,male,1,male,theft,simpleLarceny
20,male,1,male,theft,pocketpicking
50,female,1,male,theft,pocketpicking
not known,male,1,male,theft,receiving
54,male,1,male,breakingPeace,wounding
not known,male,1,male,theft,simpleLarceny
26,female,1,male,theft,grandLarceny
29,male,1,male,violentTheft,robbery
not known,female,1,male,theft,pocketpicking
35,male,0,nan,deception,perjury
not known,male,1,male,theft,grandLarceny
not known,male,1,female,violentTheft,highwayRobbery
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
not known,female,0,nan,kill,infanticide
20,male,0,nan,theft,mail
20,male,1,male,theft,stealingFromMaster
32,male,1,male,theft,simpleLarceny
not known,female,1,male,theft,grandLarceny
not known,female,1,female,theft,pettyLarceny
not known,female,2,male;male,theft,theftFromPlace
not known,female,1,male,theft,theftFromPlace
not known,male,1,male,theft,theftFromPlace
not known,male,0,nan,deception,forgery
19,male,0,nan,royalOffences,coiningOffences
not known,male,1,male,theft,grandLarceny
not known,female,1,female,theft,shoplifting
not known,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,pettyLarceny
30,female,1,male,theft,grandLarceny
50,male,1,male,theft,animalTheft
39,male,1,male,theft,animalTheft
not known,female,1,male,theft,housebreaking
30,male,1,male,theft,housebreaking
29,female,1,female,theft,simpleLarceny
not known,male,1,male,violentTheft,highwayRobbery
18,male,1,male,theft,stealingFromMaster
23,male,0,nan,deception,perjury
not known,female,1,female,theft,grandLarceny
not known,female,1,male,theft,simpleLarceny
20,male,1,male,theft,grandLarceny
40,male,0,nan,deception,perjury
23,female,1,male,theft,grandLarceny
not known,male,1,male,theft,simpleLarceny
24,male,1,male,violentTheft,robbery
not known,male,1,male,theft,grandLarceny
23,male,1,indeterminate,theft,mail
46,male,1,male,theft,grandLarceny
not known,male,1,female,theft,other
not known,male,1,male,theft,grandLarceny
not known,male,1,male,violentTheft,highwayRobbery
22,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,theftFromPlace
not known,male,1,male,theft,grandLarceny
not known,male,0,nan,deception,forgery
not known,female,0,nan,theft,embezzlement
not known,male,1,male,theft,theftFromPlace
22,male,1,male,kill,other
not known,female,1,male,theft,theftFromPlace
not known,male,1,male,theft,stealingFromMaster
not known,male,1,male,theft,simpleLarceny
not known,female,1,male,theft,simpleLarceny
not known,male,2,male;male,theft,pocketpicking
not known,male,1,male,theft,theftFromPlace
not known,female,1,female,theft,shoplifting
29,male,0,nan,deception,forgery
not known,female,0,nan,deception,perjury
not known,female,1,male,theft,grandLarceny
not known,female,1,male,theft,grandLarceny
39,male,1,indeterminate,theft,receiving
22,male,0,nan,royalOffences,coiningOffences
40,female,1,male,theft,theftFromPlace
not known,male,1,male,theft,theftFromPlace
not known,female,1,male,theft,grandLarceny
37,male,1,male,theft,burglary
not known,female,1,male,theft,grandLarceny
51,male,1,female,kill,manslaughter
13,male,2,male;male,theft,burglary
not known,male,1,male,theft,theftFromPlace
43,male,0,nan,deception,fraud
not known,male,1,male,violentTheft,highwayRobbery
not known,male,2,male;female,theft,grandLarceny
18,male,1,indeterminate,theft,mail
30,male,1,male,theft,animalTheft
not known,male,1,male,theft,stealingFromMaster
30,male,1,male,theft,pocketpicking
not known,male,0,nan,theft,embezzlement
not known,male,1,male,theft,simpleLarceny
19,male,1,female,sexual,rape
31,female,1,male,theft,simpleLarceny
not known,female,1,male,theft,stealingFromMaster
not known,male,1,male,theft,grandLarceny
not known,female,1,male,theft,grandLarceny
not known,male,0,nan,sexual,sodomy
41,male,0,nan,deception,fraud
not known,male,1,male,theft,theftFromPlace
not known,female,1,female,theft,grandLarceny
56,female,1,male,theft,theftFromPlace
29,male,1,male,damage,arson
not known,male,1,male,theft,grandLarceny
not known,male,3,male;male;male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
not known,male,1,male,breakingPeace,wounding
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,burglary
19,male,1,male,violentTheft,robbery
not known,male,2,male;male,theft,grandLarceny
30,female,1,male,theft,grandLarceny
18,male,0,nan,sexual,other
not known,male,1,female,theft,simpleLarceny
not known,male,1,male,theft,grandLarceny
20,female,0,nan,miscellaneous,concealingABirth
31,male,2,male;male,theft,simpleLarceny
14,male,1,male,theft,pocketpicking
not known,male,1,female,kill,murder
not known,male,1,male,theft,animalTheft
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
30,male,1,male,theft,simpleLarceny
51,male,1,male,theft,simpleLarceny
31,female,1,male,kill,murder
16,male,0,nan,royalOffences,coiningOffences
25,male,1,male,breakingPeace,wounding
25,male,1,indeterminate,theft,mail
27,male,1,female,breakingPeace,wounding
not known,male,1,male,kill,manslaughter
50,male,0,nan,deception,bankrupcy
not known,male,1,male,theft,grandLarceny
9,male,1,male,theft,grandLarceny
not known,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,simpleLarceny
23,male,2,female;female,sexual,bigamy
not known,male,1,male,theft,pocketpicking
17,male,1,male,theft,pocketpicking
not known,male,1,male,royalOffences,coiningOffences
not known,male,1,male,theft,stealingFromMaster
not known,male,1,female,theft,burglary
35,female,0,nan,deception,forgery
not known,male,1,female,theft,receiving
not known,male,1,male,theft,other
not known,male,1,male,theft,grandLarceny
38,male,0,nan,deception,fraud
not known,male,1,male,deception,forgery
not known,male,1,male,theft,grandLarceny
not known,male,0,nan,deception,fraud
not known,male,1,male,theft,grandLarceny
not known,male,1,male,kill,manslaughter
not known,female,2,male;male,damage,arson
not known,male,1,male,theft,stealingFromMaster
22,female,1,male,theft,pocketpicking
not known,male,1,male,theft,receiving
48,female,1,male,theft,stealingFromMaster
not known,female,0,nan,kill,infanticide
not known,male,1,male,theft,theftFromPlace
not known,male,1,female,sexual,rape
37,male,1,female,kill,manslaughter
not known,male,0,nan,theft,grandLarceny
16,male,1,male,theft,shoplifting
40,female,2,male;female,theft,grandLarceny
19,male,0,nan,sexual,assaultWithSodomiticalIntent
not known,male,0,nan,royalOffences,coiningOffences
22,male,1,male,theft,simpleLarceny
not known,male,1,female,theft,theftFromPlace
42,male,3,male;male;male,deception,forgery
not known,male,1,male,theft,simpleLarceny
27,female,1,male,theft,theftFromPlace
not known,female,1,female,theft,simpleLarceny
not known,male,1,male,theft,simpleLarceny
not known,female,1,male,violentTheft,highwayRobbery
not known,male,1,male,theft,grandLarceny
not known,male,1,indeterminate,theft,grandLarceny
35,female,1,male,breakingPeace,wounding
23,male,0,nan,deception,fraud
not known,female,2,female;male,violentTheft,highwayRobbery
22,female,0,nan,miscellaneous,concealingABirth
28,male,1,male,theft,housebreaking
not known,female,2,male;male,theft,receiving
16,male,1,male,theft,grandLarceny
18,male,1,male,theft,simpleLarceny
not known,male,1,male,violentTheft,highwayRobbery
20,male,1,female,kill,manslaughter
25,male,1,male,theft,grandLarceny
not known,female,2,male;male,theft,other
not known,male,2,male;male,theft,theftFromPlace
not known,male,2,male;male,theft,grandLarceny
53,male,1,male,theft,stealingFromMaster
20,male,1,male,theft,simpleLarceny
18,female,1,male,theft,simpleLarceny
not known,female,1,female,theft,theftFromPlace
32,male,1,male,theft,simpleLarceny
29,male,0,nan,sexual,sodomy
not known,male,1,male,theft,animalTheft
not known,female,1,male,theft,other
not known,male,1,male,theft,pocketpicking
not known,male,1,male,violentTheft,highwayRobbery
not known,female,1,male,theft,other
30,male,1,male,kill,murder
not known,male,1,male,theft,theftFromPlace
not known,female,1,male,theft,pocketpicking
30,male,0,nan,deception,forgery
39,male,2,male;male,theft,grandLarceny
22,male,2,male;male,theft,simpleLarceny
27,male,4,female;male;female;male,kill,murder
20,male,1,female,sexual,assaultWithIntent
25,male,1,female,breakingPeace,assault
not known,male,1,male,theft,grandLarceny
not known,female,1,female,theft,grandLarceny
not known,male,1,female,theft,grandLarceny
not known,male,1,male,theft,simpleLarceny
not known,female,1,female,theft,theftFromPlace
not known,female,1,indeterminate,royalOffences,other
17,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,pettyLarceny
not known,female,1,male,theft,other
not known,male,1,female,theft,theftFromPlace
30,male,1,male,breakingPeace,wounding
not known,male,0,nan,violentTheft,highwayRobbery
28,male,0,nan,deception,fraud
30,male,1,male,theft,animalTheft
41,male,1,male,deception,fraud
not known,male,1,female,theft,burglary
not known,male,2,male;male,breakingPeace,wounding
not known,female,1,female,theft,grandLarceny
not known,male,1,male,theft,pocketpicking
not known,male,0,nan,deception,forgery
38,male,1,female,breakingPeace,wounding
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,housebreaking
not known,male,1,male,theft,receiving
44,female,1,female,theft,simpleLarceny
not known,female,1,male,theft,grandLarceny
not known,male,1,male,theft,burglary
40,female,1,male,theft,stealingFromMaster
39,female,1,male,theft,shoplifting
13,male,1,male,theft,simpleLarceny
not known,female,1,male,theft,other
23,male,0,nan,theft,housebreaking
not known,male,1,male,theft,grandLarceny
18,male,1,male,theft,stealingFromMaster
not known,male,1,female,theft,grandLarceny
33,male,1,female,deception,fraud
not known,female,1,female,theft,grandLarceny
38,female,1,male,theft,stealingFromMaster
not known,female,1,male,theft,theftFromPlace
not known,male,1,male,damage,arson
not known,female,1,male,theft,theftFromPlace
not known,male,1,female,theft,pocketpicking
not known,female,1,male,theft,grandLarceny
not known,female,1,male,theft,theftFromPlace
not known,male,1,male,theft,pettyLarceny
26,female,1,male,theft,simpleLarceny
not known,male,2,male;male,theft,housebreaking
not known,male,0,nan,theft,other
19,female,0,nan,royalOffences,coiningOffences
16,male,1,male,theft,stealingFromMaster
not known,male,0,nan,theft,embezzlement
45,female,1,female,damage,arson
20,male,1,male,theft,pocketpicking
19,male,2,female;male,violentTheft,robbery
not known,female,1,female,kill,manslaughter
19,male,1,male,theft,grandLarceny
not known,female,0,nan,miscellaneous,concealingABirth
not known,female,0,nan,kill,infanticide
28,male,1,female,theft,extortion
not known,male,1,male,theft,theftFromPlace
16,male,1,female,sexual,indecentAssault
not known,male,0,nan,theft,embezzlement
27,female,0,nan,royalOffences,coiningOffences
18,male,1,male,theft,grandLarceny
18,male,1,male,theft,stealingFromMaster
not known,male,0,nan,deception,perjury
37,male,0,nan,deception,forgery
not known,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,theftFromPlace
not known,female,2,male;male,theft,grandLarceny
17,male,1,male,theft,simpleLarceny
31,male,0,nan,theft,theftFromPlace
not known,male,1,male,theft,grandLarceny
26,male,0,nan,sexual,bigamy
not known,female,1,male,theft,grandLarceny
not known,male,0,nan,breakingPeace,other
not known,male,1,male,violentTheft,robbery
36,female,1,male,theft,grandLarceny
38,male,1,male,theft,theftFromPlace
not known,male,1,male,theft,theftFromPlace
47,female,1,male,theft,grandLarceny
not known,male,2,male;male,theft,burglary
not known,male,1,male,deception,forgery
not known,female,1,male,theft,simpleLarceny
20,male,1,male,theft,burglary
not known,female,0,nan,deception,perjury
not known,male,1,male,violentTheft,highwayRobbery
not known,female,1,female,theft,simpleLarceny
24,male,1,male,theft,stealingFromMaster
not known,female,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
not known,male,0,nan,miscellaneous,other
26,male,1,male,theft,pocketpicking
28,male,1,male,theft,pocketpicking
not known,male,2,male;male,violentTheft,highwayRobbery
18,male,0,nan,miscellaneous,returnFromTransportation
not known,male,1,male,theft,simpleLarceny
20,male,1,male,theft,burglary
56,female,1,female,breakingPeace,wounding
not known,male,1,male,theft,other
22,male,1,male,theft,simpleLarceny
17,female,1,male,theft,stealingFromMaster
33,male,0,nan,royalOffences,coiningOffences
50,female,1,female,theft,simpleLarceny
not known,male,1,male,theft,other
not known,male,1,male,theft,pettyLarceny
not known,female,1,male,breakingPeace,wounding
not known,male,1,male,theft,grandLarceny
not known,female,1,male,violentTheft,robbery
not known,male,0,nan,theft,grandLarceny
26,male,1,female,sexual,rape
not known,male,1,male,theft,theftFromPlace
20,male,0,nan,royalOffences,coiningOffences
not known,male,1,male,kill,murder
not known,female,1,male,theft,pocketpicking
16,male,1,male,theft,simpleLarceny
not known,female,1,male,theft,pocketpicking
22,male,1,male,theft,grandLarceny
not known,female,1,male,theft,grandLarceny
not known,female,1,female,theft,grandLarceny
19,male,2,male;male,theft,theftFromPlace
24,male,1,male,violentTheft,robbery
36,female,1,male,theft,simpleLarceny
37,male,1,indeterminate,theft,stealingFromMaster
24,male,1,male,theft,theftFromPlace
22,female,1,female,theft,grandLarceny
not known,male,1,male,deception,perjury
17,male,0,nan,sexual,sodomy
not known,male,1,male,theft,stealingFromMaster
not known,female,1,female,theft,grandLarceny
43,male,1,male,theft,grandLarceny
48,male,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
44,male,0,nan,royalOffences,coiningOffences
not known,male,1,male,theft,stealingFromMaster
19,male,1,male,theft,pocketpicking
not known,male,1,male,theft,simpleLarceny
not known,female,1,male,theft,receiving
not known,male,2,male;male,theft,animalTheft
not known,male,1,male,theft,simpleLarceny
eleven,male,1,male,theft,shoplifting
39,female,1,male,theft,theftFromPlace
not known,male,1,male,deception,fraud
not known,female,1,female,theft,grandLarceny
